DetectorID,RoadType,Location
88.1.28,On-Ramp,I-15 NB Spring Mtn EB On-Ramp between Spring Mountain Road and I-15 NB
91.2.29,Freeway,I-15 SB between I-15 SB Spring Mtn Off-Ramp and I-15 SB Spring Mtn On-Ramp
95.1.29,On-Ramp,I-15 SB Spring Mtn On-Ramp between Spring Mountain Road and I-15 SB
89.2.30,Freeway,I-15 NB between I-15 NB Spring Mtn WB On-Ramp and I-15 NB Desert Inn On-Ramp
90.2.30,On-Ramp,I-15 NB Spring Mtn WB On-Ramp between Spring Mountain Road and I-15 NB
461.4.31,Freeway,I 15 Exp SB between Desert Inn Road and Spring Mountain Road
91.1.31,Freeway,I-15 SB between I-15 SB Spring Mtn Off-Ramp and I-15 SB Spring Mtn On-Ramp
461.3.32,Freeway,I 15 Exp SB between Meade and Desert Inn Road
98.3.32,Freeway,I-15 SB between I-15 SB Sahara On-Ramp and I-15 SB Spring Mtn Off-Ramp
97.1.33,Freeway,I-15 NB between I-15 NB Desert Inn On-Ramp and I-15 NB Sahara Off-Ramp
97.2.33,Freeway,I-15 NB between I-15 NB Desert Inn On-Ramp and I-15 NB Sahara Off-Ramp
98.2.34,Freeway,I-15 SB between I-15 SB Sahara On-Ramp and I-15 SB Spring Mtn Off-Ramp
99.1.35,Freeway,I-15 NB between I-15 NB Sahara Off-Ramp and I-15 NB Sahara On-Ramp
101.1.35,On-Ramp,I-15 NB Sahara On-Ramp between Sahara Avenue and I-15 NB
102.2.37,Freeway,I-15 SB between I-15 SB Sahara Off-Ramp and I-15 SB Sahara On-Ramp
109.1.37,On-Ramp,I-15 SB Boulder Off-Ramp between Sahara Avenue and I-15 SB
97.3.38,Freeway,I-15 NB between I-15 NB Desert Inn On-Ramp and I-15 NB Sahara Off-Ramp
201.1.39,On-Ramp,I-515 NB Casino Ctr On-Ramp between Casino Center Boulevard and I-515 NB
102.1.40,Freeway,I-15 SB between I-15 SB Sahara Off-Ramp and I-15 SB Sahara On-Ramp
103.1.40,Off-Ramp,I-15 SB Sahara WB Off-Ramp between I-15 SB and Sahara Avenue
103.2.40,Off-Ramp,I-15 SB Sahara WB Off-Ramp between I-15 SB and Sahara Avenue
110.1.41,Freeway,I-15 NB between I-15 NB Sahara On-Ramp and I-15 NB Charleston EB Off-Ramp
111.1.42,Freeway,I-15 SB between I-15 SB MLK/Charleston On-Ramp and I-15 SB Sahara Off-Ramp
117.3.43,Freeway,I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp
112.2.44,Freeway,I-15 NB between I-15 NB Charleston EB Off-Ramp and I-15 NB Charleston WB Off-Ramp
114.2.44,Off-Ramp,I-15 NB Charleston Off-Ramp between I-15 NB and Charleston Boulevard
113.2.45,Freeway,I-15 NB between I-15 NB Charleston WB Off-Ramp and I-15 NB Charleston On-Ramp
115.1.45,Off-Ramp,I-15 NB Grand Central Off-Ramp between I-15 NB and Grand Central Parkway
116.2.45,On-Ramp,I-15 NB Grand Central On-Ramp between Grand Central Parkway and I-15 NB
117.1.46,Freeway,I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp
136.2.47,Freeway,I-15 SB between US-95 NB to I-15 SB Ramp and US-95 SB to I-15 SB Ramp
171.2.47,Interchange,US-95 SB to I-15 SB Ramp between US-95 SB and I-15 SB
122.2.48,Freeway,I-15 NB between I-15 NB Charleston On-Ramp and I-15 NB to US-95 NB Ramp
125.2.49,Interchange,I-15 NB to US-95 NB Ramp between I-15 NB and US-95 NB
126.1.49,Off-Ramp,I-15 NB MLK Blvd Off-Ramp between I-15 NB and Martin Luther King Boulevard
129.2.49,Interchange,I-15 NB to US-95 SB Ramp between I-15 NB and I-515 SB
123.2.50,Freeway,I-15 SB between US-95 SB to I-15 SB Ramp and I-15 SB MLK/Charleston Off-Ramp
172.1.51,Freeway,I-515 SB between US-95 SB to I-15 NB Ramp and I-15 NB to US-95 SB Ramp
180.3.51,Interchange,US-95 NB to I-15 SB Ramp between I-515 NB and I-15 SB
175.1.51,On-Ramp,I-515 SB MLK Blvd On-Ramp between Martin Luther King Boulevard and I-515 SB
457.3.52,Freeway,I 15 Exp NB between Hacienda Avenue and Tropicana Avenue
69.1.52,Freeway,I-15 SB between I-15 SB Tropicana On-Ramp and I-15 SB Russell Off-Ramp
142.2.54,Freeway,I-15 SB between I-15 SB Washington Off-Ramp and I-15 SB Washington On-Ramp
144.1.54,On-Ramp,I-15 SB Washington On-Ramp between D Street and I-15 SB
141.2.55,On-Ramp,I-15 NB Washington/D-St On-Ramp between Washington Avenue and I-15 NB
156.2.57,Freeway,I-15 SB between I-15 SB  Lake Mead WB On-Ramp and I-15 SB Lake Mead EB On-Ramp
159.2.57,On-Ramp,I-15 SB  Cheyenne Off-Ramp between Lake Mead Boulevard and I-15 SB
210.2.59,Freeway,I-515 SB between I-515 SB Eastern On-Ramp and I-515 SB Charleston Off-Ramp
210.3.59,Freeway,I-515 SB between I-515 SB Eastern On-Ramp and I-515 SB Charleston Off-Ramp
211.3.61,Freeway,I-515 NB between I-515 NB Charleston On-Ramp and I-515 NB Eastern Off-Ramp
211.2.61,Freeway,I-515 NB between I-515 NB Charleston On-Ramp and I-515 NB Eastern Off-Ramp
204.2.62,Freeway,I-515 SB between I-515 SB Eastern Off-Ramp and I-515 SB Eastern On-Ramp
210.1.62,Freeway,I-515 SB between I-515 SB Eastern On-Ramp and I-515 SB Charleston Off-Ramp
207.2.63,Freeway,I-515 NB between I-515 NB Eastern Off-Ramp and I-515 NB Eastern On-Ramp
